web-scraper-order,web-scraper-start-url,pagination,user,date,review
1650535777-645,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Tyson L.,9-Nov-21,ik.imagekit.io
1650535777-646,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Nurul A.,9-May-21,ik.imagekit.io
1650535777-647,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Rose C. A.,15-Feb-21,ik.imagekit.io
1650535777-648,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Budi P.,4-Jan-20,"Sangat puas menginap di hotel ini. Hotel bagus, view pantai, ada kolam renang anak dan dewasa, makanan ya banyak banget. Di hotel bisa liat monyet, lizard, merak.pelayanan bagus. Apalagi yang suka lari seperti saya bisa trail, lari di pantai."
1650535777-649,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Richelle M.,4-Jul-19,ik.imagekit.io
1650535777-650,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Doan T. T. D.,20-Jan-19,ik.imagekit.io
1650535777-651,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Hengki N. T.,6-Dec-18,"Luas kamar cukup, AC-nya dingin cuma bednya berdebu."
1650535777-652,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,andrew w.,11-Jul-18,Pemandangannya bagus kamarnya bersih mau kemana-mana mudah ada shuttle bus pantainya juga bersih
1650535777-653,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Marcella D. A.,30-Jun-18,"Kamarnya bagus, pemandangannya juga keren, fasilitas kamarnya luar biasa. Para staffnya juga ramah ramah, makanannya juga enak dan beragam dan ada yg halalnya juga. Hotel yg bakal kita kunjungin lagi kalo ke Singapore. Gampang kemana-mana juga karena ada shuttle bus nya dan kita juga dapet tiket gratis naik monorail exspress-nya ke Sentosa...😘👏👍 Terimakasih Traveloka."
1650535777-654,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,ira r.,25-Mar-18,"Terbaik, sarapan enak, kolam renang enak, semua enak dan istirahat terbaik."
1650535777-655,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Gracia C.,12-Nov-21,"Best Resorts in Singapore for Family Travellers! Private Beach, Fun Swimming Pool, Kayak-ing are all amazing! Need improvement on the Complimentary Breakfast."
1650535777-657,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Ollie L.,4-Nov-21,"Family hotel for sure! Great service from check in, all the staff are friendly. Lots of activities to do. Buffet spread was very good"
1650535777-658,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Bryan S.,4-Nov-21,"Old property but must say, well maintained. Nothing is breaking down. Simple old rooms but the view is fantastic. Breakfast spread is above my expectations, very decent quality and variety."
1650535777-659,https://www.traveloka.com/id-id/hotel/singapore/shangri-la-rasa-sentosa-singapore-10619?spec=22-04-2022.23-04-2022.1.1.HOTEL.10619.Shangri-La%20Rasa%20Sentosa%2C%20Singapore.2,,Chow J. H.,1-Nov-21,"It is definitely suitable for a family stay, the kid had lots of fun at the pool and beach. The room is comfortable, and the tent in the room for the kid is good fun."
